question_id,video_id,task_type,duration,question,options,correct_answer,l1_predicted,l1_correct,l2_predicted,l2_correct,category
001-1,001,Counting Problem,short,"When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?",A. Apples. | B. Candles. | C. Berries. | D. The three kinds are of the same number.,C,C,True,A,False,regressed
001-2,001,Information Synopsis,short,What is the genre of this video?,A. It is a news report that introduces the history behind Christmas decorations. | B. It is a documentary on the evolution of Christmas holiday recipes. | C. It is a travel vlog exploring Christmas markets around the world. | D. It is a tutorial on DIY Christmas ornament crafting.,A,A,True,A,True,maintained_correct
001-3,001,Counting Problem,short,How many red socks are above the fireplace at the end of this video?,A. 1. | B. 4. | C. 2. | D. 3.,D,C,False,D,True,improved
013-1,013,Spatial Perception,short,Which of the following is visible in the background of the video when the miniature bottle is shown empty?,A. Water. | B. Cork. | C. Shells. | D. Star.,C,C,True,C,True,maintained_correct
013-2,013,Action Reasoning,short,"According to the video, which of the following ingredients is not used in the artwork?",A. Shell. | B. Glue. | C. Blue Food Dye. | D. Oil.,A,B,False,D,False,changed_wrong
013-3,013,Action Recognition,short,What was the next step taken by the operator after filling the bottle with oil?,A. Applied glue to cork. | B. Added blue food dye. | C. Added 1/3 water. | D. Put the cork on the bottle.,A,C,False,D,False,changed_wrong
014-1,014,Object Recognition,short,"Which of the following can be identified as Susan White-Oakes' most recent art piece, based on the video?",A. A tiger. | B. A bird. | C. A fish. | D. A pangolin.,D,D,True,D,True,maintained_correct
014-2,014,Attribute Perception,short,"Based on the video, what is Susan White-Oakes' latest art work made of?",A. Silver. | B. Iron. | C. Bronze. | D. Copper.,D,D,True,D,True,maintained_correct
014-3,014,Temporal Reasoning,short,What does Susan White-Oakes often do before polishing the whole body?,A. She sculptures the legs. | B. She attaches the copper scales to the body. | C. She decides what size the head should be. | D. She shapes the claws.,C,B,False,D,False,changed_wrong
016-1,016,Attribute Perception,short,When was the painting mentioned in the video painted?,A. 1998. | B. 1889. | C. 1899. | D. 1988.,B,B,True,B,True,maintained_correct
016-2,016,Object Reasoning,short,Which of the following elements does not appear in the paintings primarily mentioned in the video?,A. Van Gogh' tragic life. | B. The Van Gogh's artistic attainments. | C. The value of the painting. | D. The hope that led Van Gogh into success.,A,D,False,D,False,maintained_wrong
016-3,016,Object Reasoning,short,"Which of the following elements is not present in the ""Starry Sky""?",A. Houses. | B. Stars. | C. Castle. | D. Moon.,D,C,False,C,False,maintained_wrong
017-1,017,Counting Problem,short,"Based on the information provided by the video, what is the maximum number of fingers required to play this piece of music?",A. Three. | B. Ten. | C. Four. | D. Five.,C,D,False,D,False,maintained_wrong
017-2,017,Object Reasoning,short,What do the characters in this video mean?,A. Volume. | B. Scale. | C. Note. | D. Strength of pressing the piano keys.,B,C,False,C,False,maintained_wrong
017-3,017,Object Reasoning,short,"In this video, why some keys are blue while others are green?",A. Because it indicates the hand to play them. | B. Because it can help to make the video more colorful. | C. Because the YouTuber love these two colors. | D. Because keys on the special piano are eithor blue or green.,A,A,True,A,True,maintained_correct
045-1,045,Object Recognition,short,What astronomical phenomenon is depicted in the video?,A. Solar flare. | B. Observed black hole. | C. Total solar eclipse. | D. Mirage.,C,C,True,C,True,maintained_correct
045-2,045,Action Recognition,short,"Which of the following is NOT known to occur during a total solar eclipse, according to the video?",A. Temperature drop. | B. Appearance of snakes. | C. Appearance of planets and stars. | D. Appearance of rare shadow bands.,B,B,True,B,True,maintained_correct
045-3,045,Object Recognition,short,Where were the people in the video located while observing the total solar eclipse?,A. Stadium. | B. Nature park. | C. Street. | D. Rooftop.,A,A,True,A,True,maintained_correct
048-1,048,Object Recognition,short,Which galaxies are depicted in the video?,A. The Sombrero Galaxy and the Triangulum Galaxy. | B. The Milky Way and the Whirlpool Galaxy. | C. The Triangulum Galaxy and the Whirlpool Galaxy. | D. The Andromeda Galaxy and the Milky Way.,D,D,True,D,True,maintained_correct
048-2,048,Object Reasoning,short,What significant event is the number at the bottom of the video referring to?,A. The time until the Andromeda and Milky Way galaxies collide. | B. The number of stars in the Milky Way. | C. The age of the universe. | D. The time remaining before the Sun burns out.,A,D,False,A,True,improved
048-3,048,Object Reasoning,short,Which of the following statements can be inferred about the Triangulum Galaxy (M33) based on the information presented in the video about the other two galaxies?,"A. It interacts gravitationally with the Andromeda Galaxy (M31). | B. It may be a companion galaxy to the Andromeda Galaxy, influenced by its gravity. | C. It is a satellite galaxy of the Andromeda Galaxy. | D. It is involved in the collision between the Milky Way and Andromeda.",C,B,False,B,False,maintained_wrong
053-1,053,Attribute Perception,short,How does the color of lava change when exposed to the air for a short while?,A. It turns blue. | B. It turns red. | C. It turns silver. | D. It turns black.,C,D,False,D,False,maintained_wrong
053-2,053,Action Recognition,short,"According to the video, how do the geologists collect lava safely?",A. They use shovel to collects lava safely. | B. They wear black mask when collecting lava. | C. They manipulate drones to collect magma. | D. They stay far away from the lava.,B,D,False,A,False,changed_wrong
053-3,053,Action Reasoning,short,How do the geologists cool the lava down?,A. By special oily coolant. | B. By leaving the lava on the ground. | C. By water. | D. By ice.,C,C,True,C,True,maintained_correct
058-1,058,Spatial Reasoning,short,"Based on the information provided by the video, which one is the most direct cause of the phenomenon that the smoke flows towards the lamp?","A. Light makes the smoke more obvious to our eyes. | B. Near the lamp, the temperature rises. | C. There is a vacuum cleaner near the lamp. | D. The lamps attracts insects and the flying insects fan the smoke towards the lamp.",B,B,True,B,True,maintained_correct
058-2,058,Attribute Perception,short,Which color are the mountains in the video?,A. Brown. | B. Blue. | C. Green. | D. Purple.,D,D,True,D,True,maintained_correct
058-3,058,Spatial Reasoning,short,What is one of the causes of wind according to the video?,"A. The sun is like a lamp. | B. The sea is cooler than the ground, and thus the sea wind forms. | C. The earth's rotaion changes as it orbits, and thus the temperature in a certain place changes. | D. The sun generates solar winds.",C,B,False,B,False,maintained_wrong
072-1,072,Object Recognition,short,Which item does not the man wear in this video?,A. Gloves. | B. A helmet. | C. Knee pads. | D. Elbow pads.,A,A,True,A,True,maintained_correct
072-2,072,Action Recognition,short,"According to the video, what is the right pose demonstrated in the animation when sitting on the bike before starting to ride?","A. Sitting backwards on the bike with both feet on the handlebars, ready to push off and start riding. | B. Sitting sideways on the bike with the left foot on the ground and the right foot resting on the pedal. | C. Sitting on the bike with both feet on the ground, not engaging with the pedals. | D. Sitting on the bike seat with the right foot on the ground and the left foot resting on the pedal.",D,D,True,D,True,maintained_correct
072-3,072,Temporal Reasoning,short,"What is the sequence of steps introduced in this video?
(a) Walk and practice using the brakes.
(b) Glide to practice balancing.
(c) Find a good space and safety considerations.
(d) Start to pedal.
(e) Adjust the seat.",A. (c)(a)(d)(e)(b). | B. (c)(e)(a)(b)(d). | C. (a)(c)(e)(b)(d). | D. (a)(e)(b)(c)(d).,B,B,True,B,True,maintained_correct
112-1,112,Counting Problem,short,How many birds can be observed perched on the street lamp in the first half of the video?,A. 6. | B. 5. | C. 7. | D. 8.,B,A,False,B,True,improved
112-2,112,Information Synopsis,short,What do the people in the village show in the video used to illuminate the night?,A. Flashlights. | B. Glow sticks. | C. Homemade lamps. | D. Electric lights.,C,C,True,C,True,maintained_correct
